date,daily,running,7DaySum,7DayAvg,14DaySum,14DayAvg
20200307,1,1,1,0.142857143,1,0.071428571
20200314,0,1,0,0,1,0.071428571
20200321,4,5,4,0.571428571,4,0.285714286
20200328,5,10,5,0.714285714,9,0.642857143
20200404,5,15,5,0.714285714,10,0.714285714
20200411,4,19,4,0.571428571,9,0.642857143
20200418,7,26,7,1,11,0.785714286
20200425,8,34,8,1.142857143,15,1.071428571
20200502,4,38,4,0.571428571,12,0.857142857
20200509,8,46,8,1.142857143,12,0.857142857
20200516,5,51,5,0.714285714,13,0.928571429
20200523,15,66,15,2.142857143,20,1.428571429
20200530,13,79,13,1.857142857,28,2
20200606,2,81,2,0.285714286,15,1.071428571
20200613,1,82,1,0.142857143,3,0.214285714
20200620,2,84,2,0.285714286,3,0.214285714
20200627,3,87,3,0.428571429,5,0.357142857
20200704,2,89,2,0.285714286,5,0.357142857
20200711,1,90,1,0.142857143,3,0.214285714
20200718,1,91,1,0.142857143,2,0.142857143
20200725,1,92,1,0.142857143,2,0.142857143
20200801,8,100,8,1.142857143,9,0.642857143
20200808,1,101,1,0.142857143,9,0.642857143
20200815,3,104,3,0.428571429,4,0.285714286
20200822,1,105,1,0.142857143,4,0.285714286
20200829,14,119,14,2,15,1.071428571
20200905,6,125,6,0.857142857,20,1.428571429
20200912,13,138,13,1.857142857,19,1.357142857
20200919,14,152,14,2,27,1.928571429
20200926,4,156,4,0.571428571,18,1.285714286
20201003,22,178,22,3.142857143,26,1.857142857
20201010,16,194,16,2.285714286,38,2.714285714
20201017,23,217,23,3.285714286,39,2.785714286
20201024,29,246,29,4.142857143,52,3.714285714
20201031,48,294,48,6.857142857,77,5.5
20201107,56,350,56,8,104,7.428571429
20201114,87,437,87,12.42857143,143,10.21428571
20201121,53,490,53,7.571428571,140,10
20201128,39,529,39,5.571428571,92,6.571428571
20201205,52,581,52,7.428571429,91,6.5
20201212,33,614,33,4.714285714,85,6.071428571
20201219,36,650,36,5.142857143,69,4.928571429
20201226,9,659,9,1.285714286,45,3.214285714
20210102,11,670,11,1.571428571,20,1.428571429
20210109,39,709,39,5.571428571,50,3.571428571
20210116,57,766,57,8.142857143,96,6.857142857
20210117,0,766,57,8.142857143,96,6.857142857
20210118,0,766,57,8.142857143,96,6.857142857
20210119,5,771,62,8.857142857,101,7.214285714
20210120,10,781,72,10.28571429,111,7.928571429
20210121,0,781,72,10.28571429,111,7.928571429
20210122,39,820,111,15.85714286,150,10.71428571
20210123,0,820,54,7.714285714,111,7.928571429
20210124,0,820,54,7.714285714,111,7.928571429
20210125,0,820,54,7.714285714,111,7.928571429
20210126,0,820,49,7,111,7.928571429
20210127,0,820,39,5.571428571,111,7.928571429
20210128,6,826,45,6.428571429,117,8.357142857
20210129,35,861,41,5.857142857,152,10.85714286
20210130,0,861,41,5.857142857,95,6.785714286
20210131,0,861,41,5.857142857,95,6.785714286
20210201,0,861,41,5.857142857,95,6.785714286
20210202,0,861,41,5.857142857,90,6.428571429
20210203,0,861,41,5.857142857,80,5.714285714
20210204,0,861,35,5,80,5.714285714
20210205,29,890,29,4.142857143,70,5
20210206,0,890,29,4.142857143,70,5
20210207,0,890,29,4.142857143,70,5
20210208,14,904,43,6.142857143,84,6
20210209,0,904,43,6.142857143,84,6
